Investment choice name,Date,Currency,NAV / unit
MIL Greater Bay Area Growth and Income Fund #,2021-12-15,USD,0.9240
MIL Greater Bay Area Growth and Income Fund #,2021-12-16,USD,0.9310
MIL Greater Bay Area Growth and Income Fund #,2021-12-17,USD,0.9170
MIL Greater Bay Area Growth and Income Fund #,2021-12-20,USD,0.9000
MIL Greater Bay Area Growth and Income Fund #,2021-12-21,USD,0.9100
MIL Greater Bay Area Growth and Income Fund #,2021-12-22,USD,0.9110
MIL Greater Bay Area Growth and Income Fund #,2021-12-23,USD,0.9150
MIL Greater Bay Area Growth and Income Fund #,2021-12-24,USD,0.9130
MIL Greater Bay Area Growth and Income Fund #,2021-12-28,USD,0.9170
MIL Greater Bay Area Growth and Income Fund #,2021-12-29,USD,0.9100
MIL Greater Bay Area Growth and Income Fund #,2021-12-30,USD,0.9100
MIL Greater Bay Area Growth and Income Fund #,2021-12-31,USD,0.9190
MIL Greater Bay Area Growth and Income Fund #,2022-01-03,USD,0.9190
MIL Greater Bay Area Growth and Income Fund #,2022-01-04,USD,0.9160
MIL Greater Bay Area Growth and Income Fund #,2022-01-05,USD,0.9030
MIL Greater Bay Area Growth and Income Fund #,2022-01-06,USD,0.8980
MIL Greater Bay Area Growth and Income Fund #,2022-01-07,USD,0.9020
MIL Greater Bay Area Growth and Income Fund #,2022-01-10,USD,0.9030
MIL Greater Bay Area Growth and Income Fund #,2022-01-11,USD,0.8990
MIL Greater Bay Area Growth and Income Fund #,2022-01-12,USD,0.9090
MIL Greater Bay Area Growth and Income Fund #,2022-01-13,USD,0.9020
MIL Greater Bay Area Growth and Income Fund #,2022-01-14,USD,0.9030
MIL Greater Bay Area Growth and Income Fund #,2022-01-17,USD,0.9020
MIL Greater Bay Area Growth and Income Fund #,2022-01-18,USD,0.9030
MIL Greater Bay Area Growth and Income Fund #,2022-01-19,USD,0.9030
MIL Greater Bay Area Growth and Income Fund #,2022-01-20,USD,0.9140
MIL Greater Bay Area Growth and Income Fund #,2022-01-21,USD,0.9140
MIL Greater Bay Area Growth and Income Fund #,2022-01-24,USD,0.9120
MIL Greater Bay Area Growth and Income Fund #,2022-01-25,USD,0.9020
MIL Greater Bay Area Growth and Income Fund #,2022-01-26,USD,0.9020
MIL Greater Bay Area Growth and Income Fund #,2022-01-27,USD,0.8900
MIL Greater Bay Area Growth and Income Fund #,2022-01-28,USD,0.8840
MIL Greater Bay Area Growth and Income Fund #,2022-01-31,USD,0.8870
MIL Greater Bay Area Growth and Income Fund #,2022-02-04,USD,0.9000
MIL Greater Bay Area Growth and Income Fund #,2022-02-07,USD,0.9020
MIL Greater Bay Area Growth and Income Fund #,2022-02-08,USD,0.8940
MIL Greater Bay Area Growth and Income Fund #,2022-02-09,USD,0.9030
MIL Greater Bay Area Growth and Income Fund #,2022-02-10,USD,0.9050
MIL Greater Bay Area Growth and Income Fund #,2022-02-11,USD,0.9000
MIL Greater Bay Area Growth and Income Fund #,2022-02-14,USD,0.8890
MIL Greater Bay Area Growth and Income Fund #,2022-02-15,USD,0.8930
MIL Greater Bay Area Growth and Income Fund #,2022-02-16,USD,0.9000
MIL Greater Bay Area Growth and Income Fund #,2022-02-17,USD,0.9000
MIL Greater Bay Area Growth and Income Fund #,2022-02-18,USD,0.9000
MIL Greater Bay Area Growth and Income Fund #,2022-02-21,USD,0.8980
MIL Greater Bay Area Growth and Income Fund #,2022-02-22,USD,0.8860
MIL Greater Bay Area Growth and Income Fund #,2022-02-23,USD,0.8890
MIL Greater Bay Area Growth and Income Fund #,2022-02-24,USD,0.8690
MIL Greater Bay Area Growth and Income Fund #,2022-02-25,USD,0.8700
MIL Greater Bay Area Growth and Income Fund #,2022-02-28,USD,0.8660
MIL Greater Bay Area Growth and Income Fund #,2022-03-01,USD,0.8670
MIL Greater Bay Area Growth and Income Fund #,2022-03-02,USD,0.8520
MIL Greater Bay Area Growth and Income Fund #,2022-03-03,USD,0.8540
MIL Greater Bay Area Growth and Income Fund #,2022-03-04,USD,0.8420
MIL Greater Bay Area Growth and Income Fund #,2022-03-07,USD,0.8240
MIL Greater Bay Area Growth and Income Fund #,2022-03-08,USD,0.8090
MIL Greater Bay Area Growth and Income Fund #,2022-03-09,USD,0.8060
MIL Greater Bay Area Growth and Income Fund #,2022-03-10,USD,0.8130
MIL Greater Bay Area Growth and Income Fund #,2022-03-11,USD,0.8050
MIL Greater Bay Area Growth and Income Fund #,2022-03-14,USD,0.7790
MIL Greater Bay Area Growth and Income Fund #,2022-03-15,USD,0.7480
MIL Greater Bay Area Growth and Income Fund #,2022-03-16,USD,0.7790
MIL Greater Bay Area Growth and Income Fund #,2022-03-17,USD,0.8140
MIL Greater Bay Area Growth and Income Fund #,2022-03-18,USD,0.8180
MIL Greater Bay Area Growth and Income Fund #,2022-03-21,USD,0.8130
MIL Greater Bay Area Growth and Income Fund #,2022-03-22,USD,0.8210
MIL Greater Bay Area Growth and Income Fund #,2022-03-23,USD,0.8270
MIL Greater Bay Area Growth and Income Fund #,2022-03-24,USD,0.8240
MIL Greater Bay Area Growth and Income Fund #,2022-03-25,USD,0.8090
MIL Greater Bay Area Growth and Income Fund #,2022-03-28,USD,0.8090
MIL Greater Bay Area Growth and Income Fund #,2022-03-29,USD,0.8110
MIL Greater Bay Area Growth and Income Fund #,2022-03-30,USD,0.8330
MIL Greater Bay Area Growth and Income Fund #,2022-03-31,USD,0.8270
MIL Greater Bay Area Growth and Income Fund #,2022-04-01,USD,0.8280
MIL Greater Bay Area Growth and Income Fund #,2022-04-04,USD,0.8400
MIL Greater Bay Area Growth and Income Fund #,2022-04-06,USD,0.8330
MIL Greater Bay Area Growth and Income Fund #,2022-04-07,USD,0.8260
MIL Greater Bay Area Growth and Income Fund #,2022-04-08,USD,0.8290
MIL Greater Bay Area Growth and Income Fund #,2022-04-11,USD,0.8090
MIL Greater Bay Area Growth and Income Fund #,2022-04-12,USD,0.8130
MIL Greater Bay Area Growth and Income Fund #,2022-04-13,USD,0.8120
MIL Greater Bay Area Growth and Income Fund #,2022-04-14,USD,0.8210
MIL Greater Bay Area Growth and Income Fund #,2022-04-19,USD,0.8100
MIL Greater Bay Area Growth and Income Fund #,2022-04-20,USD,0.8030
MIL Greater Bay Area Growth and Income Fund #,2022-04-21,USD,0.7940
MIL Greater Bay Area Growth and Income Fund #,2022-04-22,USD,0.7930
MIL Greater Bay Area Growth and Income Fund #,2022-04-25,USD,0.7740
MIL Greater Bay Area Growth and Income Fund #,2022-04-26,USD,0.7760
MIL Greater Bay Area Growth and Income Fund #,2022-04-27,USD,0.7800
MIL Greater Bay Area Growth and Income Fund #,2022-04-28,USD,0.7870
MIL Greater Bay Area Growth and Income Fund #,2022-04-29,USD,0.8000
MIL Greater Bay Area Growth and Income Fund #,2022-05-03,USD,0.7990
MIL Greater Bay Area Growth and Income Fund #,2022-05-04,USD,0.7940
MIL Greater Bay Area Growth and Income Fund #,2022-05-05,USD,0.7920
MIL Greater Bay Area Growth and Income Fund #,2022-05-06,USD,0.7730
MIL Greater Bay Area Growth and Income Fund #,2022-05-10,USD,0.7610
MIL Greater Bay Area Growth and Income Fund #,2022-05-11,USD,0.7670
MIL Greater Bay Area Growth and Income Fund #,2022-05-12,USD,0.7560
MIL Greater Bay Area Growth and Income Fund #,2022-05-13,USD,0.7680
MIL Greater Bay Area Growth and Income Fund #,2022-05-16,USD,0.7690
