Investment choice name,Date,Currency,NAV / unit
MIL Allianz Income and Growth Fund,2016-10-31,USD,1.0090
MIL Allianz Income and Growth Fund,2016-11-01,USD,1.0090
MIL Allianz Income and Growth Fund,2016-11-02,USD,1.0010
MIL Allianz Income and Growth Fund,2016-11-03,USD,0.9960
MIL Allianz Income and Growth Fund,2016-11-04,USD,0.9930
MIL Allianz Income and Growth Fund,2016-11-07,USD,0.9980
MIL Allianz Income and Growth Fund,2016-11-08,USD,1.0020
MIL Allianz Income and Growth Fund,2016-11-09,USD,1.0070
MIL Allianz Income and Growth Fund,2016-11-10,USD,1.0130
MIL Allianz Income and Growth Fund,2016-11-11,USD,1.0080
MIL Allianz Income and Growth Fund,2016-11-14,USD,1.0090
MIL Allianz Income and Growth Fund,2016-11-15,USD,1.0070
MIL Allianz Income and Growth Fund,2016-11-16,USD,1.0120
MIL Allianz Income and Growth Fund,2016-11-17,USD,1.0140
MIL Allianz Income and Growth Fund,2016-11-18,USD,1.0170
MIL Allianz Income and Growth Fund,2016-11-21,USD,1.0180
MIL Allianz Income and Growth Fund,2016-11-22,USD,1.0220
MIL Allianz Income and Growth Fund,2016-11-23,USD,1.0220
MIL Allianz Income and Growth Fund,2016-11-24,USD,1.0220
MIL Allianz Income and Growth Fund,2016-11-25,USD,1.0250
MIL Allianz Income and Growth Fund,2016-11-28,USD,1.0250
MIL Allianz Income and Growth Fund,2016-11-29,USD,1.0230
MIL Allianz Income and Growth Fund,2016-11-30,USD,1.0240
MIL Allianz Income and Growth Fund,2016-12-01,USD,1.0220
MIL Allianz Income and Growth Fund,2016-12-02,USD,1.0180
MIL Allianz Income and Growth Fund,2016-12-05,USD,1.0210
MIL Allianz Income and Growth Fund,2016-12-06,USD,1.0240
MIL Allianz Income and Growth Fund,2016-12-07,USD,1.0260
MIL Allianz Income and Growth Fund,2016-12-08,USD,1.0340
MIL Allianz Income and Growth Fund,2016-12-09,USD,1.0380
MIL Allianz Income and Growth Fund,2016-12-12,USD,1.0390
MIL Allianz Income and Growth Fund,2016-12-13,USD,1.0390
MIL Allianz Income and Growth Fund,2016-12-14,USD,1.0410
MIL Allianz Income and Growth Fund,2016-12-15,USD,1.0390
MIL Allianz Income and Growth Fund,2016-12-16,USD,1.0390
MIL Allianz Income and Growth Fund,2016-12-19,USD,1.0380
MIL Allianz Income and Growth Fund,2016-12-20,USD,1.0390
MIL Allianz Income and Growth Fund,2016-12-21,USD,1.0400
MIL Allianz Income and Growth Fund,2016-12-22,USD,1.0380
MIL Allianz Income and Growth Fund,2016-12-23,USD,1.0370
MIL Allianz Income and Growth Fund,2016-12-28,USD,1.0390
MIL Allianz Income and Growth Fund,2016-12-29,USD,1.0370
MIL Allianz Income and Growth Fund,2016-12-30,USD,1.0350
MIL Allianz Income and Growth Fund,2017-01-03,USD,1.0360
MIL Allianz Income and Growth Fund,2017-01-04,USD,1.0400
MIL Allianz Income and Growth Fund,2017-01-05,USD,1.0440
MIL Allianz Income and Growth Fund,2017-01-06,USD,1.0460
MIL Allianz Income and Growth Fund,2017-01-09,USD,1.0480
MIL Allianz Income and Growth Fund,2017-01-10,USD,1.0490
MIL Allianz Income and Growth Fund,2017-01-11,USD,1.0500
MIL Allianz Income and Growth Fund,2017-01-12,USD,1.0480
MIL Allianz Income and Growth Fund,2017-01-13,USD,1.0490
MIL Allianz Income and Growth Fund,2017-01-16,USD,1.0490
MIL Allianz Income and Growth Fund,2017-01-17,USD,1.0480
MIL Allianz Income and Growth Fund,2017-01-18,USD,1.0470
MIL Allianz Income and Growth Fund,2017-01-19,USD,1.0490
MIL Allianz Income and Growth Fund,2017-01-20,USD,1.0480
MIL Allianz Income and Growth Fund,2017-01-23,USD,1.0460
MIL Allianz Income and Growth Fund,2017-01-24,USD,1.0460
MIL Allianz Income and Growth Fund,2017-01-25,USD,1.0530
MIL Allianz Income and Growth Fund,2017-01-26,USD,1.0560
MIL Allianz Income and Growth Fund,2017-01-27,USD,1.0550
MIL Allianz Income and Growth Fund,2017-02-01,USD,1.0520
MIL Allianz Income and Growth Fund,2017-02-02,USD,1.0520
MIL Allianz Income and Growth Fund,2017-02-03,USD,1.0550
MIL Allianz Income and Growth Fund,2017-02-06,USD,1.0570
MIL Allianz Income and Growth Fund,2017-02-07,USD,1.0570
MIL Allianz Income and Growth Fund,2017-02-08,USD,1.0550
MIL Allianz Income and Growth Fund,2017-02-09,USD,1.0570
MIL Allianz Income and Growth Fund,2017-02-10,USD,1.0600
MIL Allianz Income and Growth Fund,2017-02-13,USD,1.0620
MIL Allianz Income and Growth Fund,2017-02-14,USD,1.0630
MIL Allianz Income and Growth Fund,2017-02-15,USD,1.0660
MIL Allianz Income and Growth Fund,2017-02-16,USD,1.0680
MIL Allianz Income and Growth Fund,2017-02-17,USD,1.0660
MIL Allianz Income and Growth Fund,2017-02-20,USD,1.0660
MIL Allianz Income and Growth Fund,2017-02-21,USD,1.0690
MIL Allianz Income and Growth Fund,2017-02-22,USD,1.0710
MIL Allianz Income and Growth Fund,2017-02-23,USD,1.0710
MIL Allianz Income and Growth Fund,2017-02-24,USD,1.0690
MIL Allianz Income and Growth Fund,2017-02-27,USD,1.0700
MIL Allianz Income and Growth Fund,2017-02-28,USD,1.0700
MIL Allianz Income and Growth Fund,2017-03-01,USD,1.0730
MIL Allianz Income and Growth Fund,2017-03-02,USD,1.0750
MIL Allianz Income and Growth Fund,2017-03-03,USD,1.0710
MIL Allianz Income and Growth Fund,2017-03-06,USD,1.0700
MIL Allianz Income and Growth Fund,2017-03-07,USD,1.0680
MIL Allianz Income and Growth Fund,2017-03-08,USD,1.0660
MIL Allianz Income and Growth Fund,2017-03-09,USD,1.0630
MIL Allianz Income and Growth Fund,2017-03-10,USD,1.0640
MIL Allianz Income and Growth Fund,2017-03-13,USD,1.0620
MIL Allianz Income and Growth Fund,2017-03-14,USD,1.0600
MIL Allianz Income and Growth Fund,2017-03-15,USD,1.0590
