Investment choice name,Date,Currency,NAV / unit
MIL Allianz Asian Multi Income Plus Fund #,2019-01-10,USD,0.9430
MIL Allianz Asian Multi Income Plus Fund #,2019-01-11,USD,0.9460
MIL Allianz Asian Multi Income Plus Fund #,2019-01-14,USD,0.9410
MIL Allianz Asian Multi Income Plus Fund #,2019-01-15,USD,0.9490
MIL Allianz Asian Multi Income Plus Fund #,2019-01-16,USD,0.9570
MIL Allianz Asian Multi Income Plus Fund #,2019-01-17,USD,0.9560
MIL Allianz Asian Multi Income Plus Fund #,2019-01-18,USD,0.9610
MIL Allianz Asian Multi Income Plus Fund #,2019-01-21,USD,0.9640
MIL Allianz Asian Multi Income Plus Fund #,2019-01-22,USD,0.9600
MIL Allianz Asian Multi Income Plus Fund #,2019-01-23,USD,0.9560
MIL Allianz Asian Multi Income Plus Fund #,2019-01-24,USD,0.9610
MIL Allianz Asian Multi Income Plus Fund #,2019-01-25,USD,0.9690
MIL Allianz Asian Multi Income Plus Fund #,2019-01-28,USD,0.9710
MIL Allianz Asian Multi Income Plus Fund #,2019-01-29,USD,0.9710
MIL Allianz Asian Multi Income Plus Fund #,2019-01-30,USD,0.9720
MIL Allianz Asian Multi Income Plus Fund #,2019-01-31,USD,0.9820
MIL Allianz Asian Multi Income Plus Fund #,2019-02-01,USD,0.9820
MIL Allianz Asian Multi Income Plus Fund #,2019-02-04,USD,0.9820
MIL Allianz Asian Multi Income Plus Fund #,2019-02-08,USD,0.9820
MIL Allianz Asian Multi Income Plus Fund #,2019-02-11,USD,0.9850
MIL Allianz Asian Multi Income Plus Fund #,2019-02-12,USD,0.9880
MIL Allianz Asian Multi Income Plus Fund #,2019-02-13,USD,0.9970
MIL Allianz Asian Multi Income Plus Fund #,2019-02-14,USD,0.9940
MIL Allianz Asian Multi Income Plus Fund #,2019-02-15,USD,0.9860
MIL Allianz Asian Multi Income Plus Fund #,2019-02-18,USD,0.9940
MIL Allianz Asian Multi Income Plus Fund #,2019-02-19,USD,0.9940
MIL Allianz Asian Multi Income Plus Fund #,2019-02-20,USD,1.0010
MIL Allianz Asian Multi Income Plus Fund #,2019-02-21,USD,1.0030
MIL Allianz Asian Multi Income Plus Fund #,2019-02-22,USD,1.0070
MIL Allianz Asian Multi Income Plus Fund #,2019-02-25,USD,1.0120
MIL Allianz Asian Multi Income Plus Fund #,2019-02-26,USD,1.0080
MIL Allianz Asian Multi Income Plus Fund #,2019-02-27,USD,1.0070
MIL Allianz Asian Multi Income Plus Fund #,2019-02-28,USD,1.0040
MIL Allianz Asian Multi Income Plus Fund #,2019-03-01,USD,1.0070
MIL Allianz Asian Multi Income Plus Fund #,2019-03-04,USD,1.0090
MIL Allianz Asian Multi Income Plus Fund #,2019-03-05,USD,1.0090
