Investment choice name,Date,Currency,NAV / unit
MIL Schroder Emerging Markets Fund #,2021-05-07,USD,1.4330
MIL Schroder Emerging Markets Fund #,2021-05-10,USD,1.4370
MIL Schroder Emerging Markets Fund #,2021-05-11,USD,1.3930
MIL Schroder Emerging Markets Fund #,2021-05-12,USD,1.3940
MIL Schroder Emerging Markets Fund #,2021-05-13,USD,1.3740
MIL Schroder Emerging Markets Fund #,2021-05-14,USD,1.3810
MIL Schroder Emerging Markets Fund #,2021-05-17,USD,1.3830
MIL Schroder Emerging Markets Fund #,2021-05-18,USD,1.4100
MIL Schroder Emerging Markets Fund #,2021-05-20,USD,1.4020
MIL Schroder Emerging Markets Fund #,2021-05-21,USD,1.4150
MIL Schroder Emerging Markets Fund #,2021-05-24,USD,1.4060
MIL Schroder Emerging Markets Fund #,2021-05-25,USD,1.4240
MIL Schroder Emerging Markets Fund #,2021-05-26,USD,1.4270
MIL Schroder Emerging Markets Fund #,2021-05-27,USD,1.4320
MIL Schroder Emerging Markets Fund #,2021-05-28,USD,1.4360
MIL Schroder Emerging Markets Fund #,2021-05-31,USD,1.4500
MIL Schroder Emerging Markets Fund #,2021-06-01,USD,1.4610
MIL Schroder Emerging Markets Fund #,2021-06-02,USD,1.4620
MIL Schroder Emerging Markets Fund #,2021-06-03,USD,1.4550
MIL Schroder Emerging Markets Fund #,2021-06-04,USD,1.4580
MIL Schroder Emerging Markets Fund #,2021-06-07,USD,1.4590
MIL Schroder Emerging Markets Fund #,2021-06-08,USD,1.4550
MIL Schroder Emerging Markets Fund #,2021-06-09,USD,1.4500
MIL Schroder Emerging Markets Fund #,2021-06-10,USD,1.4540
MIL Schroder Emerging Markets Fund #,2021-06-11,USD,1.4570
MIL Schroder Emerging Markets Fund #,2021-06-15,USD,1.4520
MIL Schroder Emerging Markets Fund #,2021-06-16,USD,1.4470
MIL Schroder Emerging Markets Fund #,2021-06-17,USD,1.4340
MIL Schroder Emerging Markets Fund #,2021-06-18,USD,1.4290
MIL Schroder Emerging Markets Fund #,2021-06-21,USD,1.4200
MIL Schroder Emerging Markets Fund #,2021-06-22,USD,1.4140
MIL Schroder Emerging Markets Fund #,2021-06-23,USD,1.4320
MIL Schroder Emerging Markets Fund #,2021-06-24,USD,1.4400
MIL Schroder Emerging Markets Fund #,2021-06-25,USD,1.4570
MIL Schroder Emerging Markets Fund #,2021-06-28,USD,1.4540
MIL Schroder Emerging Markets Fund #,2021-06-29,USD,1.4480
MIL Schroder Emerging Markets Fund #,2021-06-30,USD,1.4470
MIL Schroder Emerging Markets Fund #,2021-07-02,USD,1.4330
MIL Schroder Emerging Markets Fund #,2021-07-05,USD,1.4270
MIL Schroder Emerging Markets Fund #,2021-07-06,USD,1.4270
MIL Schroder Emerging Markets Fund #,2021-07-07,USD,1.4180
MIL Schroder Emerging Markets Fund #,2021-07-08,USD,1.3810
MIL Schroder Emerging Markets Fund #,2021-07-09,USD,1.3940
MIL Schroder Emerging Markets Fund #,2021-07-12,USD,1.3960
MIL Schroder Emerging Markets Fund #,2021-07-13,USD,1.4030
MIL Schroder Emerging Markets Fund #,2021-07-14,USD,1.4190
MIL Schroder Emerging Markets Fund #,2021-07-15,USD,1.4200
MIL Schroder Emerging Markets Fund #,2021-07-16,USD,1.4200
MIL Schroder Emerging Markets Fund #,2021-07-19,USD,1.3840
MIL Schroder Emerging Markets Fund #,2021-07-20,USD,1.3800
MIL Schroder Emerging Markets Fund #,2021-07-21,USD,1.3830
MIL Schroder Emerging Markets Fund #,2021-07-22,USD,1.3990
MIL Schroder Emerging Markets Fund #,2021-07-23,USD,1.3980
MIL Schroder Emerging Markets Fund #,2021-07-26,USD,1.3680
MIL Schroder Emerging Markets Fund #,2021-07-27,USD,1.3480
MIL Schroder Emerging Markets Fund #,2021-07-28,USD,1.3510
MIL Schroder Emerging Markets Fund #,2021-07-29,USD,1.3840
MIL Schroder Emerging Markets Fund #,2021-07-30,USD,1.3770
MIL Schroder Emerging Markets Fund #,2021-08-02,USD,1.3820
MIL Schroder Emerging Markets Fund #,2021-08-03,USD,1.3890
MIL Schroder Emerging Markets Fund #,2021-08-04,USD,1.3990
MIL Schroder Emerging Markets Fund #,2021-08-05,USD,1.4000
MIL Schroder Emerging Markets Fund #,2021-08-06,USD,1.3930
MIL Schroder Emerging Markets Fund #,2021-08-09,USD,1.3930
MIL Schroder Emerging Markets Fund #,2021-08-10,USD,1.3940
MIL Schroder Emerging Markets Fund #,2021-08-11,USD,1.3950
MIL Schroder Emerging Markets Fund #,2021-08-12,USD,1.3840
MIL Schroder Emerging Markets Fund #,2021-08-13,USD,1.3740
MIL Schroder Emerging Markets Fund #,2021-08-16,USD,1.3710
MIL Schroder Emerging Markets Fund #,2021-08-17,USD,1.3540
MIL Schroder Emerging Markets Fund #,2021-08-18,USD,1.3560
MIL Schroder Emerging Markets Fund #,2021-08-19,USD,1.3250
MIL Schroder Emerging Markets Fund #,2021-08-20,USD,1.3130
MIL Schroder Emerging Markets Fund #,2021-08-23,USD,1.3310
MIL Schroder Emerging Markets Fund #,2021-08-24,USD,1.3500
MIL Schroder Emerging Markets Fund #,2021-08-25,USD,1.3660
MIL Schroder Emerging Markets Fund #,2021-08-26,USD,1.3580
MIL Schroder Emerging Markets Fund #,2021-08-27,USD,1.3600
MIL Schroder Emerging Markets Fund #,2021-08-30,USD,1.3680
MIL Schroder Emerging Markets Fund #,2021-08-31,USD,1.3860
MIL Schroder Emerging Markets Fund #,2021-09-01,USD,1.3970
MIL Schroder Emerging Markets Fund #,2021-09-02,USD,1.3990
MIL Schroder Emerging Markets Fund #,2021-09-03,USD,1.3990
MIL Schroder Emerging Markets Fund #,2021-09-06,USD,1.4080
MIL Schroder Emerging Markets Fund #,2021-09-07,USD,1.4030
MIL Schroder Emerging Markets Fund #,2021-09-08,USD,1.4020
MIL Schroder Emerging Markets Fund #,2021-09-09,USD,1.3770
MIL Schroder Emerging Markets Fund #,2021-09-10,USD,1.3850
MIL Schroder Emerging Markets Fund #,2021-09-13,USD,1.3780
MIL Schroder Emerging Markets Fund #,2021-09-14,USD,1.3760
MIL Schroder Emerging Markets Fund #,2021-09-15,USD,1.3660
MIL Schroder Emerging Markets Fund #,2021-09-16,USD,1.3520
MIL Schroder Emerging Markets Fund #,2021-09-17,USD,1.3540
MIL Schroder Emerging Markets Fund #,2021-09-20,USD,1.3180
MIL Schroder Emerging Markets Fund #,2021-09-21,USD,1.3190
MIL Schroder Emerging Markets Fund #,2021-09-23,USD,1.3400
MIL Schroder Emerging Markets Fund #,2021-09-24,USD,1.3330
MIL Schroder Emerging Markets Fund #,2021-09-27,USD,1.3370
MIL Schroder Emerging Markets Fund #,2021-09-28,USD,1.3300
MIL Schroder Emerging Markets Fund #,2021-09-29,USD,1.3210
MIL Schroder Emerging Markets Fund #,2021-09-30,USD,1.3200
MIL Schroder Emerging Markets Fund #,2021-10-04,USD,1.3110
MIL Schroder Emerging Markets Fund #,2021-10-05,USD,1.3040
MIL Schroder Emerging Markets Fund #,2021-10-06,USD,1.2860
MIL Schroder Emerging Markets Fund #,2021-10-07,USD,1.3170
MIL Schroder Emerging Markets Fund #,2021-10-08,USD,1.3270
