Investment choice name,Date,Currency,NAV / unit
MIL Ninety One Global Gold Fund,2017-03-15,USD,0.6370
MIL Ninety One Global Gold Fund,2017-03-16,USD,0.6380
MIL Ninety One Global Gold Fund,2017-03-17,USD,0.6360
MIL Ninety One Global Gold Fund,2017-03-20,USD,0.6400
MIL Ninety One Global Gold Fund,2017-03-21,USD,0.6530
MIL Ninety One Global Gold Fund,2017-03-22,USD,0.6530
MIL Ninety One Global Gold Fund,2017-03-23,USD,0.6440
MIL Ninety One Global Gold Fund,2017-03-24,USD,0.6390
MIL Ninety One Global Gold Fund,2017-03-27,USD,0.6520
MIL Ninety One Global Gold Fund,2017-03-28,USD,0.6350
MIL Ninety One Global Gold Fund,2017-03-29,USD,0.6380
MIL Ninety One Global Gold Fund,2017-03-30,USD,0.6310
MIL Ninety One Global Gold Fund,2017-03-31,USD,0.6320
MIL Ninety One Global Gold Fund,2017-04-03,USD,0.6400
MIL Ninety One Global Gold Fund,2017-04-05,USD,0.6530
MIL Ninety One Global Gold Fund,2017-04-06,USD,0.6540
MIL Ninety One Global Gold Fund,2017-04-07,USD,0.6590
MIL Ninety One Global Gold Fund,2017-04-10,USD,0.6610
MIL Ninety One Global Gold Fund,2017-04-11,USD,0.6750
MIL Ninety One Global Gold Fund,2017-04-12,USD,0.6800
MIL Ninety One Global Gold Fund,2017-04-13,USD,0.6850
MIL Ninety One Global Gold Fund,2017-04-18,USD,0.6760
MIL Ninety One Global Gold Fund,2017-04-19,USD,0.6570
MIL Ninety One Global Gold Fund,2017-04-20,USD,0.6550
MIL Ninety One Global Gold Fund,2017-04-21,USD,0.6560
MIL Ninety One Global Gold Fund,2017-04-24,USD,0.6430
MIL Ninety One Global Gold Fund,2017-04-25,USD,0.6160
MIL Ninety One Global Gold Fund,2017-04-26,USD,0.6100
MIL Ninety One Global Gold Fund,2017-04-27,USD,0.6050
MIL Ninety One Global Gold Fund,2017-04-28,USD,0.6140
MIL Ninety One Global Gold Fund,2017-05-02,USD,0.6010
MIL Ninety One Global Gold Fund,2017-05-04,USD,0.5790
MIL Ninety One Global Gold Fund,2017-05-05,USD,0.5890
MIL Ninety One Global Gold Fund,2017-05-08,USD,0.5870
MIL Ninety One Global Gold Fund,2017-05-09,USD,0.5870
MIL Ninety One Global Gold Fund,2017-05-10,USD,0.5980
MIL Ninety One Global Gold Fund,2017-05-11,USD,0.6110
MIL Ninety One Global Gold Fund,2017-05-12,USD,0.6200
MIL Ninety One Global Gold Fund,2017-05-15,USD,0.6210
MIL Ninety One Global Gold Fund,2017-05-16,USD,0.6240
MIL Ninety One Global Gold Fund,2017-05-17,USD,0.6340
MIL Ninety One Global Gold Fund,2017-05-18,USD,0.6190
MIL Ninety One Global Gold Fund,2017-05-19,USD,0.6220
MIL Ninety One Global Gold Fund,2017-05-22,USD,0.6290
MIL Ninety One Global Gold Fund,2017-05-23,USD,0.6230
MIL Ninety One Global Gold Fund,2017-05-24,USD,0.6230
MIL Ninety One Global Gold Fund,2017-05-25,USD,0.6230
MIL Ninety One Global Gold Fund,2017-05-26,USD,0.6240
MIL Ninety One Global Gold Fund,2017-05-29,USD,0.6240
MIL Ninety One Global Gold Fund,2017-05-31,USD,0.6150
MIL Ninety One Global Gold Fund,2017-06-01,USD,0.6130
MIL Ninety One Global Gold Fund,2017-06-02,USD,0.6210
MIL Ninety One Global Gold Fund,2017-06-05,USD,0.6210
MIL Ninety One Global Gold Fund,2017-06-06,USD,0.6520
MIL Ninety One Global Gold Fund,2017-06-07,USD,0.6510
MIL Ninety One Global Gold Fund,2017-06-08,USD,0.6390
MIL Ninety One Global Gold Fund,2017-06-09,USD,0.6330
MIL Ninety One Global Gold Fund,2017-06-12,USD,0.6330
MIL Ninety One Global Gold Fund,2017-06-13,USD,0.6400
MIL Ninety One Global Gold Fund,2017-06-14,USD,0.6260
MIL Ninety One Global Gold Fund,2017-06-15,USD,0.6150
MIL Ninety One Global Gold Fund,2017-06-16,USD,0.6150
MIL Ninety One Global Gold Fund,2017-06-19,USD,0.6090
MIL Ninety One Global Gold Fund,2017-06-20,USD,0.6050
MIL Ninety One Global Gold Fund,2017-06-21,USD,0.6090
MIL Ninety One Global Gold Fund,2017-06-22,USD,0.6220
MIL Ninety One Global Gold Fund,2017-06-23,USD,0.6220
MIL Ninety One Global Gold Fund,2017-06-26,USD,0.6260
MIL Ninety One Global Gold Fund,2017-06-27,USD,0.6200
MIL Ninety One Global Gold Fund,2017-06-28,USD,0.6250
MIL Ninety One Global Gold Fund,2017-06-29,USD,0.6180
MIL Ninety One Global Gold Fund,2017-06-30,USD,0.6140
MIL Ninety One Global Gold Fund,2017-07-03,USD,0.6050
MIL Ninety One Global Gold Fund,2017-07-04,USD,0.5960
MIL Ninety One Global Gold Fund,2017-07-05,USD,0.6000
MIL Ninety One Global Gold Fund,2017-07-06,USD,0.5990
MIL Ninety One Global Gold Fund,2017-07-07,USD,0.5900
MIL Ninety One Global Gold Fund,2017-07-10,USD,0.6000
MIL Ninety One Global Gold Fund,2017-07-11,USD,0.6020
MIL Ninety One Global Gold Fund,2017-07-12,USD,0.6070
MIL Ninety One Global Gold Fund,2017-07-13,USD,0.6020
MIL Ninety One Global Gold Fund,2017-07-14,USD,0.6080
MIL Ninety One Global Gold Fund,2017-07-17,USD,0.6110
MIL Ninety One Global Gold Fund,2017-07-18,USD,0.6160
MIL Ninety One Global Gold Fund,2017-07-19,USD,0.6140
MIL Ninety One Global Gold Fund,2017-07-20,USD,0.6160
MIL Ninety One Global Gold Fund,2017-07-21,USD,0.6180
MIL Ninety One Global Gold Fund,2017-07-24,USD,0.6120
MIL Ninety One Global Gold Fund,2017-07-25,USD,0.6140
MIL Ninety One Global Gold Fund,2017-07-26,USD,0.6260
