Investment choice name,Date,Currency,NAV / unit
MIL Fidelity International Fund,2016-12-05,USD,1.0610
MIL Fidelity International Fund,2016-12-06,USD,1.0620
MIL Fidelity International Fund,2016-12-07,USD,1.0710
MIL Fidelity International Fund,2016-12-08,USD,1.0780
MIL Fidelity International Fund,2016-12-09,USD,1.0810
MIL Fidelity International Fund,2016-12-12,USD,1.0800
MIL Fidelity International Fund,2016-12-13,USD,1.0870
MIL Fidelity International Fund,2016-12-14,USD,1.0840
MIL Fidelity International Fund,2016-12-15,USD,1.0780
MIL Fidelity International Fund,2016-12-16,USD,1.0770
MIL Fidelity International Fund,2016-12-19,USD,1.0760
MIL Fidelity International Fund,2016-12-20,USD,1.0780
MIL Fidelity International Fund,2016-12-21,USD,1.0780
MIL Fidelity International Fund,2016-12-22,USD,1.0740
MIL Fidelity International Fund,2016-12-23,USD,1.0750
MIL Fidelity International Fund,2016-12-28,USD,1.0750
MIL Fidelity International Fund,2016-12-29,USD,1.0730
MIL Fidelity International Fund,2016-12-30,USD,1.0760
MIL Fidelity International Fund,2017-01-03,USD,1.0760
MIL Fidelity International Fund,2017-01-04,USD,1.0860
MIL Fidelity International Fund,2017-01-05,USD,1.0900
MIL Fidelity International Fund,2017-01-06,USD,1.0930
MIL Fidelity International Fund,2017-01-09,USD,1.0900
MIL Fidelity International Fund,2017-01-10,USD,1.0900
MIL Fidelity International Fund,2017-01-11,USD,1.0880
MIL Fidelity International Fund,2017-01-12,USD,1.0870
MIL Fidelity International Fund,2017-01-13,USD,1.0950
MIL Fidelity International Fund,2017-01-16,USD,1.0900
MIL Fidelity International Fund,2017-01-17,USD,1.0910
MIL Fidelity International Fund,2017-01-18,USD,1.0890
MIL Fidelity International Fund,2017-01-19,USD,1.0870
MIL Fidelity International Fund,2017-01-20,USD,1.0910
MIL Fidelity International Fund,2017-01-23,USD,1.0860
MIL Fidelity International Fund,2017-01-24,USD,1.0930
MIL Fidelity International Fund,2017-01-25,USD,1.1030
MIL Fidelity International Fund,2017-01-26,USD,1.1020
MIL Fidelity International Fund,2017-01-27,USD,1.1000
MIL Fidelity International Fund,2017-02-01,USD,1.0940
MIL Fidelity International Fund,2017-02-02,USD,1.0940
MIL Fidelity International Fund,2017-02-03,USD,1.1030
MIL Fidelity International Fund,2017-02-06,USD,1.0980
MIL Fidelity International Fund,2017-02-07,USD,1.0980
MIL Fidelity International Fund,2017-02-08,USD,1.0980
MIL Fidelity International Fund,2017-02-09,USD,1.1050
MIL Fidelity International Fund,2017-02-10,USD,1.1080
MIL Fidelity International Fund,2017-02-13,USD,1.1140
MIL Fidelity International Fund,2017-02-14,USD,1.1120
MIL Fidelity International Fund,2017-02-15,USD,1.1180
MIL Fidelity International Fund,2017-02-16,USD,1.1190
MIL Fidelity International Fund,2017-02-17,USD,1.1170
MIL Fidelity International Fund,2017-02-20,USD,1.1210
MIL Fidelity International Fund,2017-02-21,USD,1.1240
MIL Fidelity International Fund,2017-02-22,USD,1.1230
MIL Fidelity International Fund,2017-02-23,USD,1.1230
MIL Fidelity International Fund,2017-02-24,USD,1.1180
MIL Fidelity International Fund,2017-02-27,USD,1.1200
MIL Fidelity International Fund,2017-02-28,USD,1.1190
MIL Fidelity International Fund,2017-03-01,USD,1.1290
MIL Fidelity International Fund,2017-03-02,USD,1.1250
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-03,USD,1.1220
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-06,USD,1.1190
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-07,USD,1.1180
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-08,USD,1.1160
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-09,USD,1.1150
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-10,USD,1.1180
MIL Fidelity Global Thematic Opportunities Fund ^^^,2017-03-13,USD,1.1220
